usps,year,population
MO,1990,5128880
MO,1991,5170800
MO,1992,5217101
MO,1993,5271175
MO,1994,5324497
MO,1995,5378247
MO,1996,5431553
MO,1997,5481193
MO,1998,5521765
MO,1999,5561948
MO,2000,5607285
MO,2001,5641142
MO,2002,5674825
MO,2003,5709403
MO,2004,5747741
MO,2005,5790300
MO,2006,5842704
MO,2007,5887612
MO,2008,5923916
MO,2009,5961088
MO,2010,5996085
MO,2011,6010544
MO,2012,6025281
MO,2013,6044917
MO,2014,6063589
MT,1970,697665
MT,1971,711153
MT,1972,719272
MT,1973,727504
MT,1974,737316
MT,1975,749209
MT,1976,758597
MT,1977,771428
MT,1978,784108
MT,1979,789255
MT,1980,786690
MT,1981,795328
MT,1982,803986
MT,1983,814031
MT,1984,820905
MT,1985,822320
MT,1986,813739
MT,1987,805063
MT,1988,800202
MT,1989,799636
MT,1990,800204
MT,1991,809680
MT,1992,825770
MT,1993,844761
MT,1994,861306
MT,1995,876553
MT,1996,886254
MT,1997,889865
MT,1998,892431
MT,1999,897507
MT,2000,903773
MT,2001,906961
MT,2002,911667
MT,2003,919630
MT,2004,930009
MT,2005,940102
MT,2006,952692
MT,2007,964706
MT,2008,976415
MT,2009,983982
MT,2010,990575
MT,2011,997661
MT,2012,1005163
MT,2013,1014864
MT,2014,1023579
NE,1970,1489064
NE,1971,1504425
NE,1972,1518356
NE,1973,1528599
NE,1974,1537905
NE,1975,1541653
NE,1976,1549128
NE,1977,1554759
NE,1978,1561134
NE,1979,1564670
NE,1980,1569825
NE,1981,1578515
NE,1982,1581780
NE,1983,1584293
NE,1984,1588639
NE,1985,1584664
NE,1986,1574333
NE,1987,1566547
NE,1988,1571477
NE,1989,1574864
NE,1990,1581660
NE,1991,1595919
NE,1992,1611687
NE,1993,1625590
NE,1994,1639041
NE,1995,1656992
NE,1996,1673740
NE,1997,1686418
NE,1998,1695816
NE,1999,1704764
NE,2000,1713820
NE,2001,1719836
NE,2002,1728292
NE,2003,1738643
NE,2004,1749370
NE,2005,1761497
NE,2006,1772693
NE,2007,1783440
NE,2008,1796378
NE,2009,1812683
NE,2010,1829865
NE,2011,1842232
NE,2012,1855487
NE,2013,1868969
NE,2014,1881503
NV,1970,494996
NV,1971,520027
NV,1972,546805
NV,1973,568946
NV,1974,596747
NV,1975,619877
NV,1976,646870
NV,1977,678154
NV,1978,719391
NV,1979,765194
NV,1980,800493
NV,1981,847655
NV,1982,881537
NV,1983,901977
NV,1984,924922
NV,1985,951030
NV,1986,980613
NV,1987,1023376
NV,1988,1075022
NV,1989,1137382
NV,1990,1220695
NV,1991,1296171
NV,1992,1351367
NV,1993,1411215
NV,1994,1499298
NV,1995,1581578
NV,1996,1666320
NV,1997,1764104
NV,1998,1853191
NV,1999,1934718
NV,2000,2018741
NV,2001,2098399
NV,2002,2173791
NV,2003,2248850
NV,2004,2346222
NV,2005,2432143
NV,2006,2522658
NV,2007,2601072
NV,2008,2653630
NV,2009,2684665
NV,2010,2703493
NV,2011,2718586
NV,2012,2755245
NV,2013,2791494
NV,2014,2839099
NH,1970,742566
NH,1971,762190
NH,1972,781710
NH,1973,801832
NH,1974,817071
NH,1975,830038
NH,1976,847025
NH,1977,871873
NH,1978,893981
NH,1979,911900
NH,1980,920610
NH,1981,936621
NH,1982,947719
NH,1983,958134
NH,1984,976864
NH,1985,996753
NH,1986,1025053
NH,1987,1054289
NH,1988,1082577
NH,1989,1104522
NH,1990,1112384
NH,1991,1109929
NH,1992,1117784
NH,1993,1129458
NH,1994,1142560
NH,1995,1157561
NH,1996,1174719
NH,1997,1189425
NH,1998,1205940
NH,1999,1222014
NH,2000,1239882
NH,2001,1255517
NH,2002,1269089
NH,2003,1279840
NH,2004,1290121
NH,2005,1298492
NH,2006,1308389
NH,2007,1312540
NH,2008,1315906
NH,2009,1316102
NH,2010,1316517
NH,2011,1318109
NH,2012,1321297
NH,2013,1322616
NH,2014,1326813
NJ,1970,7193210
NJ,1971,7281992
NJ,1972,7336570
NJ,1973,7335280
NJ,1974,7335230
NJ,1975,7341399
NJ,1976,7344079
NJ,1977,7342023
NJ,1978,7356425
NJ,1979,7373065
NJ,1980,7364823
NJ,1981,7407472
NJ,1982,7430968
NJ,1983,7467785
NJ,1984,7515473
NJ,1985,7565528
NJ,1986,7622159
NJ,1987,7670742
NJ,1988,7712333
NJ,1989,7726089
NJ,1990,7762963
NJ,1991,7814676
NJ,1992,7880508
NJ,1993,7948915
NJ,1994,8014306
NJ,1995,8083242
NJ,1996,8149596
NJ,1997,8218808
NJ,1998,8287418
NJ,1999,8359592
NJ,2000,8430621
NJ,2001,8492671
NJ,2002,8552643
NJ,2003,8601402
NJ,2004,8634561
NJ,2005,8651974
NJ,2006,8661679
NJ,2007,8677885
NJ,2008,8711090
NJ,2009,8755602
NJ,2010,8803580
NJ,2011,8842614
NJ,2012,8876000
NJ,2013,8911502
NJ,2014,8938175
NM,1970,1024290
NM,1971,1053333
NM,1972,1077889
NM,1973,1104347
NM,1974,1129663
NM,1975,1162743
NM,1976,1195208
NM,1977,1225310
NM,1978,1251898
NM,1979,1280594
NM,1980,1302894
NM,1981,1332748
NM,1982,1363823
NM,1983,1394361
NM,1984,1416717
NM,1985,1438361
NM,1986,1462729
NM,1987,1478520
NM,1988,1490337
NM,1989,1503901
NM,1990,1521574
NM,1991,1555305
NM,1992,1595442
NM,1993,1636453
NM,1994,1682398
NM,1995,1720394
NM,1996,1752326
NM,1997,1774839
NM,1998,1793484
NM,1999,1808082
NM,2000,1821204
NM,2001,1831690
NM,2002,1855309
NM,2003,1877574
NM,2004,1903808
NM,2005,1932274
NM,2006,1962137
NM,2007,1990070
NM,2008,2010662
NM,2009,2036802
NM,2010,2064950
NM,2011,2078407
NM,2012,2084594
NM,2013,2086895
NM,2014,2085572
NY,1970,18266034
NY,1971,18364991
NY,1972,18351888
NY,1973,18194899
NY,1974,18072890
NY,1975,18032337
NY,1976,17974781
NY,1977,17851561
NY,1978,17720503
NY,1979,17633759
NY,1980,17558072
NY,1981,17567734
NY,1982,17589738
NY,1983,17686905
NY,1984,17745684
NY,1985,17791672
NY,1986,17833419
NY,1987,17868848
NY,1988,17941309
NY,1989,17983086
NY,1990,18020784
NY,1991,18122510
NY,1992,18246653
NY,1993,18374954
NY,1994,18459470
NY,1995,18524104
NY,1996,18588460
NY,1997,18656546
NY,1998,18755906
NY,1999,18882725
NY,2000,19001780
NY,2001,19082838
NY,2002,19137800
NY,2003,19175939
NY,2004,19171567
NY,2005,19132610
NY,2006,19104631
NY,2007,19132335
NY,2008,19212436
NY,2009,19307066
NY,2010,19400867
NY,2011,19521745
NY,2012,19607140
NY,2013,19695680
NY,2014,19746227
NC,1970,5107138
NC,1971,5200624
NC,1972,5296063
NC,1973,5382396
NC,1974,5461082
NC,1975,5535035
NC,1976,5593340
NC,1977,5668363
NC,1978,5739221
NC,1979,5801496
NC,1980,5881766
NC,1981,5956653
NC,1982,6019101
NC,1983,6077056
NC,1984,6164006
NC,1985,6253954
NC,1986,6321578
NC,1987,6403700
NC,1988,6480594
NC,1989,6565459
NC,1990,6664016
NC,1991,6784280
NC,1992,6897214
NC,1993,7042818
NC,1994,7187398
NC,1995,7344674
NC,1996,7500670
NC,1997,7656825
NC,1998,7809121
NC,1999,7949361
NC,2000,8081614
NC,2001,8210122
NC,2002,8326201
NC,2003,8422501
NC,2004,8553152
NC,2005,8705407
NC,2006,8917270
NC,2007,9118037
NC,2008,9309449
NC,2009,9449566
NC,2010,9559488
NC,2011,9651502
NC,2012,9748181
NC,2013,9848917
NC,2014,9943964
ND,1970,619616
ND,1971,626814
ND,1972,631073
ND,1973,632500
ND,1974,634267
ND,1975,638605
ND,1976,645429
ND,1977,649294
ND,1978,650802
ND,1979,652317
ND,1980,652717
ND,1981,659505
ND,1982,668972
ND,1983,676688
ND,1984,680497
ND,1985,676980
ND,1986,669512
ND,1987,661136
ND,1988,655331
ND,1989,646351
ND,1990,637685
ND,1991,635753
ND,1992,638223
ND,1993,641216
ND,1994,644804
ND,1995,647832
ND,1996,650382
ND,1997,649716
ND,1998,647532
ND,1999,644259
ND,2000,642023
ND,2001,639062
ND,2002,638168
ND,2003,638817
ND,2004,644705
ND,2005,646089
ND,2006,649422
ND,2007,652822
ND,2008,657569
ND,2009,664968
ND,2010,674345
ND,2011,685242
ND,2012,701705
ND,2013,723857
ND,2014,739482
OH,1970,10672784
OH,1971,10734897
OH,1972,10747042
OH,1973,10767335
OH,1974,10765749
OH,1975,10770620
OH,1976,10752843
OH,1977,10771362
OH,1978,10795544
OH,1979,10798677
OH,1980,10797630
OH,1981,10788330
OH,1982,10757087
OH,1983,10737632
OH,1984,10737746
OH,1985,10734926
OH,1986,10730268
OH,1987,10760090
OH,1988,10798552
OH,1989,10829217
OH,1990,10864162
OH,1991,10945762
OH,1992,11029431
OH,1993,11101140
OH,1994,11152454
OH,1995,11202751
OH,1996,11242827
OH,1997,11277357
OH,1998,11311536
OH,1999,11335454
OH,2000,11363543
OH,2001,11387404
OH,2002,11407889
OH,2003,11434788
OH,2004,11452251
OH,2005,11463320
OH,2006,11481213
OH,2007,11500468
OH,2008,11515391
OH,2009,11528896
OH,2010,11540070
OH,2011,11544757
OH,2012,11550901
OH,2013,11572005
OH,2014,11594163
OK,1970,2570926
OK,1971,2618115
OK,1972,2657777
OK,1973,2694412
OK,1974,2732590
OK,1975,2771958
OK,1976,2823332
OK,1977,2865865
OK,1978,2912963
OK,1979,2970069
OK,1980,3025290
OK,1981,3096164
OK,1982,3206123
OK,1983,3290402
OK,1984,3285533
OK,1985,3271332
OK,1986,3252735
OK,1987,3210122
OK,1988,3167057
OK,1989,3150307
OK,1990,3148825
OK,1991,3175440
OK,1992,3220517
OK,1993,3252285
OK,1994,3280940
OK,1995,3308208
OK,1996,3340129
OK,1997,3372917
OK,1998,3405194
OK,1999,3437147
OK,2000,3454365
OK,2001,3467100
OK,2002,3489080
OK,2003,3504892
OK,2004,3525233
OK,2005,3548597
OK,2006,3594090
OK,2007,3634349
OK,2008,3668976
OK,2009,3717572
OK,2010,3759481
OK,2011,3786527
OK,2012,3817059
OK,2013,3853118
OK,2014,3878051
OR,1970,2103151
OR,1971,2149942
OR,1972,2195316
OR,1973,2238985
OR,1974,2281008
OR,1975,2324646
OR,1976,2372217
OR,1977,2439477
OR,1978,2509658
OR,1979,2578367
OR,1980,2633105
OR,1981,2667982
OR,1982,2664922
OR,1983,2653066
OR,1984,2666588
OR,1985,2672652
OR,1986,2683528
OR,1987,2700991
OR,1988,2741297
OR,1989,2790575
OR,1990,2860375
OR,1991,2928507
OR,1992,2991755
OR,1993,3060367
OR,1994,3121264
OR,1995,3184369
OR,1996,3247111
OR,1997,3304310
OR,1998,3352449
OR,1999,3393941
OR,2000,3429708
OR,2001,3467937
OR,2002,3513424
OR,2003,3547376
OR,2004,3569463
OR,2005,3613202
OR,2006,3670883
OR,2007,3722417
OR,2008,3768748
OR,2009,3808600
OR,2010,3837083
OR,2011,3867644
OR,2012,3898684
OR,2013,3928068
OR,2014,3970239
PA,1970,11817397
PA,1971,11884462
PA,1972,11904626
PA,1973,11885290
PA,1974,11864002
PA,1975,11897884
PA,1976,11887569
PA,1977,11881959
PA,1978,11864840
PA,1979,11873663
PA,1980,11863895
PA,1981,11858567
PA,1982,11845146
PA,1983,11837723
PA,1984,11815172
PA,1985,11770862
PA,1986,11782752
PA,1987,11810866
PA,1988,11845752
PA,1989,11865996
PA,1990,11903299
PA,1991,11982164
PA,1992,12049450
PA,1993,12119724
PA,1994,12166050
PA,1995,12198403
PA,1996,12220464
PA,1997,12227814
PA,1998,12245672
PA,1999,12263805
PA,2000,12284173
PA,2001,12298970
PA,2002,12331031
PA,2003,12374658
PA,2004,12410722
PA,2005,12449990
PA,2006,12510809
PA,2007,12563937
PA,2008,12612285
PA,2009,12666858
PA,2010,12711077
PA,2011,12743995
PA,2012,12770043
PA,2013,12781296
PA,2014,12787209
RI,1970,952555
RI,1971,963988
RI,1972,976384
RI,1973,978018
RI,1974,953519
RI,1975,946352
RI,1976,950328
RI,1977,955133
RI,1978,957247
RI,1979,956651
RI,1980,947154
RI,1981,953013
RI,1982,954170
RI,1983,956382
RI,1984,961894
RI,1985,968955
RI,1986,977341
RI,1987,989604
RI,1988,996408
RI,1989,1000666
RI,1990,1005995
RI,1991,1010649
RI,1992,1012581
RI,1993,1015112
RI,1994,1015960
RI,1995,1017002
RI,1996,1020893
RI,1997,1025353
RI,1998,1031155
RI,1999,1040402
RI,2000,1050268
RI,2001,1057142
RI,2002,1065995
RI,2003,1071342
RI,2004,1074579
RI,2005,1067916
RI,2006,1063096
RI,2007,1057315
RI,2008,1055003
RI,2009,1053646
RI,2010,1053078
RI,2011,1052020
RI,2012,1052637
RI,2013,1053354
RI,2014,1055173
SC,1970,2604662
SC,1971,2661616
SC,1972,2718294
SC,1973,2775339
SC,1974,2843112
SC,1975,2900130
SC,1976,2941304
SC,1977,2988908
SC,1978,3041015
SC,1979,3086840
SC,1980,3121820
SC,1981,3179255
SC,1982,3207614
SC,1983,3234066
SC,1984,3271868
SC,1985,3303209
SC,1986,3342758
SC,1987,3380506
SC,1988,3412096
SC,1989,3456775
SC,1990,3501155
SC,1991,3570404
SC,1992,3620464
SC,1993,3663314
SC,1994,3705397
SC,1995,3748582
SC,1996,3796200
SC,1997,3859696
SC,1998,3919235
SC,1999,3974682
SC,2000,4024223
SC,2001,4064995
SC,2002,4107795
SC,2003,4150297
SC,2004,4210921
SC,2005,4270150
SC,2006,4357847
SC,2007,4444110
SC,2008,4528996
SC,2009,4589872
SC,2010,4636290
SC,2011,4673054
SC,2012,4722621
SC,2013,4771929
SC,2014,4832482
SD,1970,667299
SD,1971,671564
SD,1972,677476
SD,1973,678998
SD,1974,679892
SD,1975,681489
SD,1976,686917
SD,1977,689104
SD,1978,689368
SD,1979,689106
SD,1980,690768
SD,1981,689584
SD,1982,690597
SD,1983,693008
SD,1984,697249
SD,1985,698402
SD,1986,696034
SD,1987,696036
SD,1988,698165
SD,1989,696701
SD,1990,697101
SD,1991,703669
SD,1992,712801
SD,1993,722159
SD,1994,730790
SD,1995,737925
SD,1996,742213
SD,1997,744223
SD,1998,746058
SD,1999,750412
SD,2000,755844
SD,2001,757972
SD,2002,760020
SD,2003,763729
SD,2004,770396
SD,2005,775493
SD,2006,783033
SD,2007,791623
SD,2008,799124
SD,2009,807067
SD,2010,816192
SD,2011,824171
SD,2012,834504
SD,2013,845510
SD,2014,853175
TN,1970,3942583
TN,1971,4010338
TN,1972,4088549
TN,1973,4138628
TN,1974,4201789
TN,1975,4260943
TN,1976,4329200
TN,1977,4401991
TN,1978,4461690
TN,1979,4533346
TN,1980,4591120
TN,1981,4627658
TN,1982,4646041
TN,1983,4659749
TN,1984,4686737
TN,1985,4715296
TN,1986,4738708
TN,1987,4782927
TN,1988,4822437
TN,1989,4854444
TN,1990,4894492
TN,1991,4966587
TN,1992,5049742
TN,1993,5137584
TN,1994,5231438
TN,1995,5326936
TN,1996,5416643
TN,1997,5499233
TN,1998,5570045
TN,1999,5638706
TN,2000,5703719
TN,2001,5750789
TN,2002,5795918
TN,2003,5847812
TN,2004,5910809
TN,2005,5991057
TN,2006,6088766
TN,2007,6175727
TN,2008,6247411
TN,2009,6306019
TN,2010,6356628
TN,2011,6398389
TN,2012,6455177
TN,2013,6497269
TN,2014,6549352
TX,1970,11260221
TX,1971,11510036
TX,1972,11759213
TX,1973,12019599
TX,1974,12268221
TX,1975,12568317
TX,1976,12903392
TX,1977,13192014
TX,1978,13497902
TX,1979,13887550
TX,1980,14229191
TX,1981,14746318
TX,1982,15331415
TX,1983,15751676
TX,1984,16007086
TX,1985,16272734
TX,1986,16561113
TX,1987,16621791
TX,1988,16667022
TX,1989,16806735
TX,1990,17056755
TX,1991,17398005
TX,1992,17759738
TX,1993,18161612
TX,1994,18564062
TX,1995,18958751
TX,1996,19340342
TX,1997,19740317
TX,1998,20157531
TX,1999,20558220
TX,2000,20944499
TX,2001,21319622
TX,2002,21690325
TX,2003,22030931
TX,2004,22394023
TX,2005,22778123
TX,2006,23359580
TX,2007,23831983
TX,2008,24309039
TX,2009,24801761
TX,2010,25245717
TX,2011,25657477
TX,2012,26094422
TX,2013,26505637
TX,2014,26956958
UT,1970,1067600
UT,1971,1100798
UT,1972,1134632
UT,1973,1168826
UT,1974,1198852
UT,1975,1233990
UT,1976,1272410
UT,1977,1316443
UT,1978,1364279
UT,1979,1416142
UT,1980,1461037
UT,1981,1515471
UT,1982,1558314
UT,1983,1594943
UT,1984,1622342
UT,1985,1642910
UT,1986,1662834
UT,1987,1678119
UT,1988,1689372
UT,1989,1705864
UT,1990,1731223
UT,1991,1779780
UT,1992,1836799
UT,1993,1898404
UT,1994,1960446
UT,1995,2014177
UT,1996,2067976
UT,1997,2119784
UT,1998,2165960
UT,1999,2203482
UT,2000,2244502
UT,2001,2283715
UT,2002,2324815
UT,2003,2360137
UT,2004,2401580
UT,2005,2457719
UT,2006,2525507
UT,2007,2597746
UT,2008,2663029
UT,2009,2723421
UT,2010,2774346
UT,2011,2815324
UT,2012,2855194
UT,2013,2902787
UT,2014,2942902
VT,1970,446649
VT,1971,454378
VT,1972,463212
VT,1973,468547
VT,1974,473148
VT,1975,479897
VT,1976,485172
VT,1977,492180
VT,1978,498306
VT,1979,505730
VT,1980,511456
VT,1981,515594
VT,1982,519109
VT,1983,523302
VT,1984,526660
VT,1985,530035
VT,1986,534066
VT,1987,540267
VT,1988,549763
VT,1989,557707
VT,1990,564798
VT,1991,568606
VT,1992,572751
VT,1993,577748
VT,1994,583836
VT,1995,589002
VT,1996,593701
VT,1997,597239
VT,1998,600416
VT,1999,604683
VT,2000,609618
VT,2001,612223
VT,2002,615442
VT,2003,617858
VT,2004,619920
VT,2005,621215
VT,2006,622892
VT,2007,623481
VT,2008,624151
VT,2009,624817
VT,2010,625792
VT,2011,626450
VT,2012,626138
VT,2013,626855
VT,2014,626562
VA,1970,4671101
VA,1971,4752480
VA,1972,4827910
VA,1973,4906505
VA,1974,4978036
VA,1975,5056199
VA,1976,5132519
VA,1977,5205505
VA,1978,5283888
VA,1979,5324338
VA,1980,5346818
VA,1981,5444097
VA,1982,5492783
VA,1983,5564657
VA,1984,5643870
VA,1985,5715153
VA,1986,5811700
VA,1987,5932268
VA,1988,6036909
VA,1989,6120246
VA,1990,6216884
VA,1991,6301217
VA,1992,6414307
VA,1993,6509630
VA,1994,6593139
VA,1995,6670693
VA,1996,6750884
VA,1997,6829183
VA,1998,6900918
VA,1999,7000174
VA,2000,7105817
VA,2001,7198362
VA,2002,7286873
VA,2003,7366977
VA,2004,7475575
VA,2005,7577105
VA,2006,7673725
VA,2007,7751000
VA,2008,7833496
VA,2009,7925937
VA,2010,8025376
VA,2011,8110188
VA,2012,8193422
VA,2013,8270345
VA,2014,8326289
WA,1970,3419974
WA,1971,3447070
WA,1972,3446895
WA,1973,3477308
WA,1974,3547959
WA,1975,3618928
WA,1976,3690628
WA,1977,3772421
WA,1978,3886250
WA,1979,4012909
WA,1980,4132156
WA,1981,4235731
WA,1982,4276552
WA,1983,4300266
WA,1984,4343656
WA,1985,4400098
WA,1986,4452720
WA,1987,4531901
WA,1988,4639893
WA,1989,4746316
WA,1990,4903043
WA,1991,5025624
WA,1992,5160757
WA,1993,5278842
WA,1994,5375161
WA,1995,5481027
WA,1996,5569753
WA,1997,5674747
WA,1998,5769562
WA,1999,5842564
WA,2000,5910512
WA,2001,5985722
WA,2002,6052349
WA,2003,6104115
WA,2004,6178645
WA,2005,6257305
WA,2006,6370753
WA,2007,6461587
WA,2008,6562231
WA,2009,6667426
WA,2010,6741911
WA,2011,6822112
WA,2012,6896325
WA,2013,6973742
WA,2014,7061530
WV,1970,1749347
WV,1971,1770346
WV,1972,1796949
WV,1973,1805347
WV,1974,1814115
WV,1975,1840660
WV,1976,1877536
WV,1977,1905696
WV,1978,1920428
WV,1979,1939112
WV,1980,1949644
WV,1981,1954124
WV,1982,1949604
WV,1983,1945061
WV,1984,1927697
WV,1985,1906831
WV,1986,1882350
WV,1987,1857585
WV,1988,1830215
WV,1989,1806568
WV,1990,1792548
WV,1991,1798735
WV,1992,1806451
WV,1993,1817539
WV,1994,1820421
WV,1995,1823700
WV,1996,1822808
WV,1997,1819113
WV,1998,1815609
WV,1999,1811799
WV,2000,1807021
WV,2001,1801481
WV,2002,1805414
WV,2003,1812295
WV,2004,1816438
WV,2005,1820492
WV,2006,1827912
WV,2007,1834052
WV,2008,1840310
WV,2009,1847775
WV,2010,1854176
WV,2011,1854982
WV,2012,1856313
WV,2013,1853595
WV,2014,1850326
WI,1970,4426419
WI,1971,4460012
WI,1972,4498455
WI,1973,4518503
WI,1974,4538220
WI,1975,4569660
WI,1976,4584747
WI,1977,4613339
WI,1978,4630998
WI,1979,4665965
WI,1980,4705767
WI,1981,4726343
WI,1982,4728870
WI,1983,4721438
WI,1984,4735563
WI,1985,4747767
WI,1986,4755618
WI,1987,4777919
WI,1988,4822388
WI,1989,4856574
WI,1990,4904562
WI,1991,4964343
WI,1992,5025398
WI,1993,5084889
WI,1994,5133678
WI,1995,5184836
WI,1996,5229986
WI,1997,5266213
WI,1998,5297672
WI,1999,5332666
WI,2000,5373999
WI,2001,5406835
WI,2002,5445162
WI,2003,5479203
WI,2004,5514026
WI,2005,5546166
WI,2006,5577655
WI,2007,5610775
WI,2008,5640996
WI,2009,5669264
WI,2010,5689268
WI,2011,5708785
WI,2012,5724888
WI,2013,5742953
WI,2014,5757564
WY,1970,333928
WY,1971,340058
WY,1972,346893
WY,1973,353385
WY,1974,364575
WY,1975,380537
WY,1976,395493
WY,1977,411606
WY,1978,430953
WY,1979,451894
WY,1980,469557
WY,1981,491712
WY,1982,506400
WY,1983,510345
WY,1984,504896
WY,1985,499695
WY,1986,495633
WY,1987,476965
WY,1988,465101
WY,1989,458374
WY,1990,453690
WY,1991,459260
WY,1992,466251
WY,1993,473081
WY,1994,480283
WY,1995,485160
WY,1996,488167
WY,1997,489451
WY,1998,490787
WY,1999,491780
WY,2000,494300
WY,2001,494657
WY,2002,500017
WY,2003,503453
WY,2004,509106
WY,2005,514157
WY,2006,522667
WY,2007,534876
WY,2008,546043
WY,2009,559851
WY,2010,564358
WY,2011,567631
WY,2012,576893
WY,2013,583223
WY,2014,584153
